item_1,item_2,item_3,item_4,item_5,item_6,condition,metric
aiguille,église,exil,poète,poste,portée,similar,slot_coding
briquet,fric,haricot,sortie,porte,tortue,similar,slot_coding
vitre,titre,citron,mark,marié,parquet,similar,slot_coding
grange,orange,frangin,parti,carte,marteau,similar,slot_coding
prise,prison,paysan,sable,tableau,câble,similar,slot_coding
métro,lettre,pétrin,horizon,crise,brise,similar,slot_coding
complot,couple,complet,auberge,opéra,horaire,similar,slot_coding
crayon,oreille,oreiller,jardin,garde,pardon,similar,slot_coding
haricot,jardin,citron,pardon,frangin,complot,dissimilar,slot_coding
frangin,aiguille,lettre,complot,sable,vitre,dissimilar,slot_coding
lettre,oreiller,église,carte,mark,titre,dissimilar,slot_coding
poste,jardin,frangin,église,opéra,métro,dissimilar,slot_coding
oreiller,opéra,exil,métro,prison,jardin,dissimilar,slot_coding
pétrin,marteau,citron,vitre,poste,crayon,dissimilar,slot_coding
titre,couple,garde,opéra,horizon,exil,dissimilar,slot_coding
complot,crayon,parti,sable,église,frangin,dissimilar,slot_coding
balai,bracelet,raclée,rite,orbite,frite,similar,levenshtein
rayon,pression,création,vautour,auteur,autre,similar,levenshtein
pressentiment,testament,estime,offre,chauffeur,coffre,similar,levenshtein
monstre,maître,maestro,droit,endroit,roi,similar,levenshtein
prochain,approche,roche,est,reste,texte,similar,levenshtein
conviction,explication,complication,trottoir,territoire,interrogatoire,similar,levenshtein
écrit,cri,écurie,victoire,histoire,square,similar,levenshtein
ours,course,nourrice,maquette,acte,pacte,similar,levenshtein
pression,coffre,autre,roi,testament,texte,dissimilar,levenshtein
ours,vautour,droit,roche,bracelet,conviction,dissimilar,levenshtein
roche,nourrice,bracelet,pacte,estime,complication,dissimilar,levenshtein
balai,coffre,orbite,territoire,texte,monstre,dissimilar,levenshtein
nourrice,histoire,estime,roche,offre,ours,dissimilar,levenshtein
prochain,vautour,endroit,cri,offre,maestro,dissimilar,levenshtein
écurie,chauffeur,texte,approche,conviction,autre,dissimilar,levenshtein
roche,estime,chauffeur,victoire,prochain,ours,dissimilar,levenshtein
supporter,porteur,imposteur,affection,fonction,effraction,similar,syllable
évènement,vêtement,sous-vêtement,confirmation,information,formation,similar,syllable
ouverture,couverture,vertu,déposition,position,opposition,similar,syllable
bazar,hasard,rasoir,possession,protection,collection,similar,syllable
torture,ordure,morsure,détention,attention,tension,similar,syllable
émotion,permission,démission,motel,cocktail,autel,similar,syllable
département,appartement,parlement,commission,mission,audition,similar,syllable
homicide,missile,domicile,mutation,réputation,éducation,similar,syllable
collection,émotion,vêtement,appartement,parlement,porteur,dissimilar,syllable
attention,motel,département,homicide,réputation,porteur,dissimilar,syllable
possession,hasard,couverture,autel,vêtement,rasoir,dissimilar,syllable
imposteur,information,évènement,hasard,rasoir,commission,dissimilar,syllable
ordure,émotion,autel,supporter,hasard,appartement,dissimilar,syllable
opposition,motel,fonction,sous-vêtement,vertu,confirmation,dissimilar,syllable
ordure,évènement,détention,éducation,hasard,motel,dissimilar,syllable
ouverture,motel,déposition,permission,parlement,information,dissimilar,syllable
exception,section,sélection,coiffure,futur,fureur,similar,closed_biphone
tapette,pétasse,peseta,discussion,condition,disparition,similar,closed_biphone
inspection,expédition,perfection,météorite,majorité,moralité,similar,closed_biphone
disposition,tradition,discrétion,canard,carrière,écart,similar,closed_biphone
cervelle,cellule,ficelle,gloire,poignard,armoire,similar,closed_biphone
impasse,patience,palace,nécessaire,serrure,ulcère,similar,closed_biphone
réflexion,direction,exposition,marbre,mâchoire,homard,similar,closed_biphone
précaution,expression,correction,tristesse,terroriste,district,similar,closed_biphone
tapette,ulcère,palace,coiffure,disposition,moralité,dissimilar,closed_biphone
cellule,écart,fureur,armoire,tristesse,exception,dissimilar,closed_biphone
impasse,tradition,fureur,exception,cellule,homard,dissimilar,closed_biphone
armoire,cervelle,disposition,écart,réflexion,palace,dissimilar,closed_biphone
palace,exposition,tristesse,moralité,carrière,cellule,dissimilar,closed_biphone
mâchoire,exposition,discussion,météorite,poignard,futur,dissimilar,closed_biphone
patience,expédition,tristesse,fureur,discussion,homard,dissimilar,closed_biphone
précaution,cellule,mâchoire,pétasse,mâchoire,gloire,dissimilar,closed_biphone
barbe,abri,arabe,fierté,traître,retrait,similar,open_biphone_1
enceinte,instinct,sainteté,trompette,patron,pétard,similar,open_biphone_1
rapport,propre,portail,western,maîtresse,internet,similar,open_biphone_1
sous-titre,mystère,touriste,préparation,opération,coopération,similar,open_biphone_1
perte,prêtre,interprète,vitrine,arbitre,sortir,similar,open_biphone_1
attrape,théâtre,artère,espérance,personne,précédent,similar,open_biphone_1
parage,appart,pratique,intéressant,restaurant,détresse,similar,open_biphone_1
cassette,question,sieste,portrait,intérêt,traité,similar,open_biphone_1
abri,personne,enceinte,vitrine,sous-titre,attrape,dissimilar,open_biphone_1
rapport,pétard,sieste,sainteté,internet,propre,dissimilar,open_biphone_1
coopération,arabe,instinct,personne,retrait,rapport,dissimilar,open_biphone_1
propre,interprète,cassette,détresse,arabe,théâtre,dissimilar,open_biphone_1
touriste,intérêt,barbe,pétard,abri,opération,dissimilar,open_biphone_1
pratique,barbe,instinct,cassette,rapport,internet,dissimilar,open_biphone_1
traître,portail,sous-titre,barbe,opération,abri,dissimilar,open_biphone_1
rapport,intéressant,internet,enceinte,portrait,sortir,dissimilar,open_biphone_1
