metric,AIC,delta_AIC,wAIC,strength
slot_coding,22162.594,1.612,0.21310731611669365,2.2389343140399323
levenshtein,22161.846,0.864,0.30975940100976657,1.5403351151611269
syllable,22160.982,0.0,0.47713328262662047,1.0
closed_biphone,22203.746,42.764,2.4691933573261587e-10,1.9323447522283099e9
open_biphone_1,22236.77,75.788,1.6652698331926447e-17,2.8652010209772644e16
open_biphone_2,22316.625,155.643,7.606619432504275e-35,6.272606206480573e33
open_biphone_3,22303.954,142.972,4.2920461067210493e-32,1.1116685859442716e31
open_biphone_4,22296.406,135.424,1.8693548684348914e-30,2.5523954316180645e29
open_biphone_5,22296.406,135.424,1.8693548684348914e-30,2.5523954316180645e29
